scope,region,panel,eligible,accepted,acceptance_rate,median_pearson,q1_pearson,q3_pearson,median_spearman,median_rmse,median_slope
overall,all,HGDP+1kGP EUR,12570,12430,0.9888623707239459,0.9625881967468097,0.9401572143822436,0.9778428856055549,0.9624341878404441,0.00011549806519985,0.9332210292699059
overall,all,UKB EUR,12570,12559,0.9991249005568814,0.9775419379239928,0.966342933060781,0.986094600199078,0.97507975088153,8.491307413456777e-05,0.9567219770796112
region,chr1:222798680-224041489,HGDP+1kGP EUR,2514,2508,0.9976133651551312,0.971427996630291,0.9592625549931285,0.981403562697966,0.9715976992841344,0.00010024168140765,0.9552889611155728
region,chr1:222798680-224041489,UKB EUR,2514,2513,0.9996022275258553,0.9774523991059666,0.966996914660943,0.9844120533268228,0.9753025235411134,8.696119846956909e-05,0.9590426720251434
region,chr6:30106780-30425675,HGDP+1kGP EUR,2514,2514,1.0,0.9750767960903461,0.9589617733661049,0.9853055108907697,0.9720774509377605,0.00010704980767219999,0.9767994623857164
region,chr6:30106780-30425675,UKB EUR,2514,2514,1.0,0.9842607344576929,0.9725485085339078,0.9913491230932793,0.9759542872550262,7.748997685463007e-05,0.9683763842462048
region,chr11:30827313-33937829,HGDP+1kGP EUR,2514,2501,0.9948289578361177,0.9587144673451192,0.9396399916129552,0.9741602856523756,0.9590424942693694,0.0001207215801817,0.921827448738223
region,chr11:30827313-33937829,UKB EUR,2514,2512,0.9992044550517104,0.9786239015214734,0.9688335637832568,0.9851014144213831,0.9772249555098997,8.314109294854243e-05,0.9578804602848863
region,chr16:60049115-62536937,HGDP+1kGP EUR,2514,2508,0.9976133651551312,0.9637791542507881,0.9411428262465844,0.9785291302176231,0.9637282197126809,0.0001090283568697,0.9303035407617377
region,chr16:60049115-62536937,UKB EUR,2514,2514,1.0,0.9829383752228629,0.9705951469194172,0.9888368546944981,0.9817573476773812,7.266250689307976e-05,0.9650503219130098
region,chr22:32439511-33959775,HGDP+1kGP EUR,2514,2399,0.9542561654733492,0.9307684960211088,0.9086947195074613,0.9509278370804415,0.933249930546144,0.0001420213308049,0.8728315787538524
region,chr22:32439511-33959775,UKB EUR,2514,2506,0.9968178202068417,0.9672155092714951,0.9562051262511226,0.9759292602832699,0.96698263936577,9.953288783453156e-05,0.9344233416406014
