source_analysis_id	source_seqid	matched_seqid	source_target_symbol	source_label	trait_ontology_name	trait_ontology_id	target_full_name	entrez_id	ensembl_gene_id	gene_name	chromosome	gene_start	gene_end	strand	gene_biotype	genome_build	is_primary_chromosome	mhc	target_resolution_method	target_resolution_notes	mapping_status	mapping_source	somascan_db_version	coordinate_source	coordinate_source_url
GCST005806	5227-60	5227-60	PDK1	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial levels (PDK1.5227.60.3)	obsolete_[pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1; mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0021984	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial	5163	ENSG00000152256	PDK1	2	172555373	172628598	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240120	12651-21	12651-21	PDK2	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial levels (PDK2.12651.21.3)	[pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0802230	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial	5164	ENSG00000005882	PDK2	17	50094737	50120276	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240121	4563-61	4563-61	PLCG1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 levels (PLCG1.4563.61.2)	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 measurement	http://www.ebi.ac.uk/efo/EFO_0020108	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	5335	ENSG00000124181	PLCG1	20	41136931	41196801	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240122	14157-21	14157-21	YWHAE	14-3-3 protein epsilon levels (YWHAE.14157.21.3)	14-3-3 protein epsilon measurement	http://www.ebi.ac.uk/efo/EFO_0021958	14-3-3 protein epsilon	7531	ENSG00000108953	YWHAE	17	1344275	1400326	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240123	4707-50	4707-50	YWHAB	14-3-3 protein family levels (YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN.4707.50.2)	14-3-3 protein family measurement	http://www.ebi.ac.uk/efo/EFO_0020109	14-3-3 protein eta	7533	ENSG00000128245	YWHAH	22	31944465	31957603	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240124	4829-43	4829-43	SFN	14-3-3 protein sigma levels (SFN.4829.43.6)	14-3-3 protein sigma measurement	http://www.ebi.ac.uk/efo/EFO_0020110	14-3-3 protein sigma	2810	ENSG00000175793	SFN	1	26863149	26864456	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240125	7625-27	7625-27	YWHAQ	14-3-3 protein theta levels (YWHAQ.7625.27.3)	14-3-3 protein theta measurement	http://www.ebi.ac.uk/efo/EFO_0022011	14-3-3 protein theta	10971	ENSG00000134308	YWHAQ	2	9583334	9639472	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240126	5858-6	5858-6	YWHAZ	14-3-3 protein zeta/delta levels (YWHAZ.5858.6.5)	14-3-3 protein zeta/delta measurement	http://www.ebi.ac.uk/efo/EFO_0021996	14-3-3 protein zeta/delta	7534	ENSG00000164924	YWHAZ	8	100914526	100953397	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240127	4995-16	4995-16	HPGD	15-hydroxyprostaglandin dehydrogenase [NAD(+)] levels (HPGD.4995.16.1)	15-hydroxyprostaglandin dehydrogenase [NAD(+)] measurement	http://www.ebi.ac.uk/efo/EFO_0020111	15-hydroxyprostaglandin dehydrogenase [NAD(+)]	3248	ENSG00000164120	HPGD	4	174453668	174523154	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240128	13972-4	13972-4	HSD17B14	17-beta-hydroxysteroid dehydrogenase 14 levels (HSD17B14.13972.4.3)	17-beta-hydroxysteroid dehydrogenase 14 measurement	http://www.ebi.ac.uk/efo/EFO_0802231	17-beta-hydroxysteroid dehydrogenase 14	51171	ENSG00000087076	HSD17B14	19	48813014	48837064	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
